Dates,World Momentum,US Quality,World Low Volatility,EU Gov bonds 7-10y,EU Corp Large Cap bonds,US TIPS 0-5y,US Short Treasury,ETC GOLD
2024-12-19,80.05000305175781,14.366000175476074,66.160003662109375,189.32000732421875,125.16999816894531,4.935500144958496,4.999499797821045,240.89999389648438
2024-11-29,82.30500030517578,14.593999862670898,69.66999816894531,192.05999755859375,126.95999908447266,4.9357500076293945,4.984499931335449,243.02999877929688
2024-10-31,79.16999816894531,13.557999610900879,67.43000030517578,187.1602020263672,124.68000030517578,4.922150135040283,4.9654998779296875,243.52999877929688
2024-09-30,79.529998779296875,13.314000129699707,68.779998779296875,190.2072296142578,125.25,4.944417476654053,4.947999954223633,227.86000061035156
2024-08-30,77.8499984741211,13.204000473022461,68.41999816894531,187.179931640625,123.70259094238281,4.885359764099121,4.926969528198242,218.3300018310547
2024-07-31,76.58000183105469,13.140000343322754,65.6500015258789,186.726318359375,123.46427154541016,4.8543782234191895,4.902037620544434,215.8300018310547
2024-06-28,78.23999786376953,13.28600025177002,62.77000045776367,182.03253173828125,121.42854309082031,4.826785564422607,4.877105236053467,209.60000610351563
2024-05-31,74.19999694824219,12.473999977111816,61.7599983215332,181.54933166503906,120.43899536132813,4.791931629180908,4.858885765075684,207.30999755859375
2024-04-30,71.44000244140625,12.253999710083008,60.91999816894531,181.96070861816406,120.34039306640625,4.748733997344971,4.835871696472168,207.42999267578125
2024-03-28,74.04000091552734,12.564000129699707,63.11000061035156,184.947998046875,121.63214111328125,4.754336357116699,4.814774990081787,198.17999267578125
2024-02-29,70.5,12.208000183105469,61.59000015258789,182.87538146972656,120.03157806396484,4.726325035095215,4.7965216636657715,182.52999877929688
2024-01-31,65.04000091552734,11.539999961853027,61.27000045776367,185.54153442382813,121.10914611816406,4.734728813171387,4.776894569396973,149.52000427246094
2023-12-29,61.779998779296875,11.026000022888184,59.650001525878906,186.5340576171875,121.48140716552734,4.703917503356934,4.758202075958252,149.52000427246094
2023-11-30,58.79999923706055,10.59000015258789,58.06999969482422,179.38214111328125,118.22969055175781,4.662368297576904,4.735770225524902,149.52000427246094
2023-10-31,53.939998626708984,10.076000213623047,55.0099983215332,173.57241821289063,115.33891296386719,4.615156173706055,4.710535526275635,149.52000427246094
2023-09-29,55.18000030517578,10.314000129699707,55.97999954223633,172.332763671875,114.6965103149414,4.599017143249512,4.689506530761719,149.52000427246094
2023-08-31,57.474998474121094,10.569999694824219,57.5,177.8583984375,115.86196899414063,4.600362777709961,4.670315742492676,149.52000427246094
2023-07-31,58.11000061035156,10.407999992370605,58.25,177.06077575683594,115.93931579589844,4.595431804656982,4.649331569671631,149.52000427246094
2023-06-30,56.7400016784668,10.118000030517578,57.400001525878906,177.4739990234375,114.94334411621094,4.574361801147461,4.628347873687744,149.52000427246094
2023-05-31,53.27000045776367,9.727999687194824,55.689998626708984,178.29083251953125,115.34291076660156,4.585120677947998,4.610100746154785,149.52000427246094
2023-04-28,56.03499984741211,9.3100004196167,58.119998931884766,177.09780883789063,115.17950439453125,4.61181640625,4.595503330230713,149.52000427246094
2023-03-31,54.5,9.284000396728516,56.540000915527344,177.30747985839844,114.7084732055664,4.603831768035889,4.583642482757568,149.52000427246094
2023-02-28,54.13999938964844,9.178999900817871,54.599998474121094,172.1985321044922,112.84593200683594,4.515995502471924,4.558517932891846,149.52000427246094
2023-01-31,55.61000061035156,9.109000205993652,56.20000076293945,176.44964599609375,114.94062805175781,4.529304027557373,4.5432538986206055,149.52000427246094
2022-12-30,55.18000030517578,8.711999893188477,55.599998474121094,171.07379150390625,112.93202209472656,4.512446403503418,4.533377647399902,149.52000427246094
2022-11-30,56.040000915527344,9.281999588012695,55.81999969482422,180.38619995117188,115.11318969726563,4.491152286529541,4.511828422546387,149.52000427246094
2022-10-31,53.70000076293945,9.277000427246094,53.36000061035156,176.56748962402344,111.5394287109375,4.495578289031982,4.497462272644043,149.52000427246094
2022-09-30,49.45000076293945,8.817000389099121,51.08000183105469,175.55844116210938,111.6728515625,4.459752082824707,4.492524147033691,149.52000427246094
2022-08-31,53.08000183105469,9.390999794006348,54.38999938964844,184.00221252441406,115.07943725585938,4.598193168640137,4.487673282623291,149.52000427246094
2022-07-29,53.91999816894531,9.5970001220703125,55.66999816894531,195.34947204589844,121.64754486083984,4.652154445648193,4.482309818267822,149.52000427246094
2022-06-30,51.779998779296875,8.649999618530273,53.88999938964844,186.6867218017578,115.19349670410156,4.573424339294434,4.479180812835693,149.52000427246094
2022-05-31,56.02000045776367,9.263999938964844,56.220001220703125,190.2470245361328,119.29934692382813,4.6424241065979,4.4836506843566895,149.52000427246094
2022-04-29,57.45000076293945,9.706999778747559,57.58000183105469,193.31227111816406,120.42804718017578,4.635149002075195,4.480074882507324,149.52000427246094
2022-03-31,64.089996337890625,9.935999870300293,60.040000915527344,201.09922790527344,124.31680297851563,4.637801170349121,4.480074882507324,149.52000427246094
2022-02-28,60.709999084472656,9.345000267028809,57.209999084472656,207.28689575195313,126.34483337402344,4.651948928833008,4.481863021850586,149.52000427246094
2022-01-31,61.54999923706055,9.619999885559082,57.779998779296875,211.2946014404297,129.29893493652344,4.610389709472656,4.482757091522217,149.52000427246094
2021-12-30,67.720001220703125,10.434000015258789,61.650001525878906,214.11236572265625,131.5524444580078,4.640454292297363,4.48454475402832,149.52000427246094
2021-11-30,66.44000244140625,10.109999656677246,58.529998779296875,217.33946228027344,131.58729553222656,4.62542200088501,4.485438346862793,149.52000427246094
